名称,信息
天使圣剑,天使神的传承武器
罗刹魔镰,罗刹神的传承武器
修罗魔剑,修罗神的传承武器
海神三叉戟,海神的传承武器
海龙枪,千刃雪击杀万年海龙魂兽获得的外附魂骨，水属性
圣龙枪,海龙枪被千刃雪用自己的魂力滋养后进化而成，水、火、光属性
神圣龙枪,圣龙枪吞噬大量龙谷能量精华之后进化而成，地，风，水，火，光，暗，时，空，重力全属性
白银龙枪,银龙王分化出的武魂，全属性
黄金龙枪,金龙王分化出的武魂
红莲业火,审判罪业之火，拥有强大的因果之力
六翼天使武魂,神级武魂，天使神的后代独有，拥有极致的光、火两种属性，力量、速度、防御、控制，辅助，恢复等几乎所有方面都非常强大，属于一种泛用性很强的武魂
六翼天使本体武魂,千仞雪分身的武魂，相比原本的六翼天使武魂效率更高
天使领域,六翼天使武魂所自带的领域，魂圣之前为第一阶段，达到魂圣即可进阶第二阶段，成神之后进阶第三阶段
玄天功,唐门的修炼功法，无需魂力也能修炼
杀戮领域,杀神传承者获得的领域，成神之后进化为修罗领域
修罗领域,杀戮领域进化而来
海神领域,海神传承者获得的领域
罗刹领域,罗刹神的领域
本源珠,千仞雪炼化魂骨，在去除里面的魂兽血脉之后得到的珠子，具有补充自身本源的功效
金魂币,斗罗大陆通用货币
玄天宝录,唐门秘闻
大力猩猩,力之一族武魂
尖尾雨燕,敏之一族武魂
破魂枪,破之一族武魂
板甲巨犀,御之一族武魂
